AccountNumber,SnapshotDate,MOB,DisbursedDate,TimeSince30,TimeSince60,Ever30In6Months,Ever30In12Months,Ever30,Ever60In6Months,Ever60In12Months,Ever60,P_calibrated,WorstDelinquency6M,WorstDelinquency12M,WorstDelinquency,Score,Ever90_12M
7700578,2022-03-31,3,2021-12-15,0.0,0.0,0,0,0,0,0,0,0.0840464067599596,1,1,1,4.595842792451997,0
5275748,2022-06-30,49,2018-05-29,0.0,0.0,0,0,0,0,0,0,0.0282376469657801,0,0,1,,0
5308515,2019-10-31,15,2018-07-06,0.0,0.0,0,0,0,0,0,0,0.0371012849821294,1,1,1,1.877307666638626,0
5472360,2022-06-30,43,2018-11-30,0.0,0.0,0,0,0,0,0,0,0.0294499150731495,1,1,1,1.877307666638626,0
5636204,2020-04-30,14,2019-02-21,0.0,0.0,0,0,0,0,0,0,0.0601450390610736,0,1,1,4.595842792451997,0
7766124,2022-09-30,3,2022-06-21,0.0,0.0,0,0,0,0,0,0,0.044667051396584,0,0,0,3.654434525430721,0
7700610,2022-03-31,3,2021-12-21,0.0,0.0,0,0,0,0,0,0,0.0917673985997895,0,0,0,3.654434525430721,1
7274632,2022-07-31,12,2021-07-01,5.0,0.0,1,1,1,0,0,0,0.0815023226282193,2,2,2,39.215327073913855,1
5079181,2021-04-30,38,2018-02-28,0.0,0.0,0,0,0,0,0,0,0.033958661623884,0,0,1,,0
7766157,2022-10-31,4,2022-06-29,0.0,0.0,0,0,0,0,0,0,0.0979571053187149,1,1,1,4.595842792451997,0
7176340,2019-11-30,5,2019-06-19,0.0,0.0,0,0,0,0,0,0,0.042456176863397,1,1,1,1.877307666638626,0
5210265,2022-04-30,48,2018-04-26,0.0,0.0,0,0,0,0,0,0,0.0473543273963552,0,0,1,,0
5308572,2020-12-31,29,2018-07-02,0.0,0.0,0,0,0,0,0,0,0.0523941333201298,0,0,1,,0
7733405,2022-10-31,7,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0402055995732222,0,0,0,3.654434525430721,0
7241888,2022-08-31,17,2021-03-12,0.0,0.0,0,0,0,0,0,0,0.0393818700508921,1,1,1,,0
7176357,2021-10-31,15,2020-07-01,0.0,0.0,0,0,0,0,0,0,0.0547649716378705,1,1,1,4.595842792451997,0
5439658,2021-03-31,28,2018-11-08,0.0,0.0,0,0,0,0,0,0,0.0356634203927603,1,1,1,1.877307666638626,0
7143597,2020-11-30,8,2020-03-05,0.0,0.0,0,0,0,0,0,0,0.1422932783198922,1,1,1,27.662599281971843,0
5931183,2022-09-30,40,2019-05-20,94.0,0.0,1,1,1,0,0,0,0.0424863791187222,2,2,2,3.1268084494684545,0
7536824,2019-12-31,3,2019-09-18,0.0,0.0,0,0,0,0,0,0,0.0255499811678853,0,0,0,3.654434525430721,0
7176381,2022-04-30,21,2020-07-02,0.0,0.0,0,0,0,0,0,0,0.0578247199143705,0,0,1,,0
7241920,2021-09-30,6,2021-03-12,0.0,0.0,0,0,0,0,0,0,0.0621084617257255,1,1,1,4.595842792451997,0
7733447,2022-07-31,4,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.104834601349897,1,1,1,4.595842792451997,0
7274699,2022-05-31,11,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.0898701237307895,1,1,1,4.595842792451997,0
7274707,2021-01-31,18,2019-07-11,0.0,0.0,0,0,0,0,0,0,0.0420671117328226,1,1,1,4.595842792451997,0
7110869,2021-01-31,19,2019-06-28,0.0,0.0,0,0,0,0,0,0,0.0426073034684558,0,0,1,,0
7733462,2022-10-31,7,2022-03-22,0.0,0.0,0,0,0,0,0,0,0.0779404886121988,0,0,0,3.654434525430721,0
7241946,2022-06-30,15,2021-03-12,0.0,0.0,0,0,0,0,0,0,0.059815406645443,0,0,0,,0
7274715,2022-01-31,7,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.0808230130677231,0,0,0,3.654434525430721,0
5767389,2020-09-30,17,2019-04-17,0.0,0.0,0,0,0,0,0,0,0.0505658750921493,0,0,1,3.654434525430721,0
7733470,2022-06-30,3,2022-03-22,0.0,0.0,0,0,0,0,0,0,0.0482329640204831,0,0,0,,0
7176415,2020-11-30,4,2020-07-01,0.0,0.0,0,0,0,0,0,0,0.0618264131391548,1,1,1,1.877307666638626,0
7110885,2022-09-30,33,2019-12-11,0.0,0.0,0,0,0,0,0,0,0.0962796585943247,1,1,1,1.877307666638626,0
7241961,2022-06-30,15,2021-03-12,305.0,0.0,0,1,1,0,0,0,0.0297697142176316,1,2,2,39.215327073913855,0
7110893,2020-08-31,9,2019-11-28,0.0,0.0,0,0,0,0,0,0,0.0972428907985576,0,0,0,3.654434525430721,0
7373038,2021-12-31,28,2019-08-02,0.0,0.0,0,0,0,0,0,0,0.0391751971567064,1,1,1,4.595842792451997,0
7176431,2022-02-28,19,2020-07-02,0.0,0.0,0,0,0,0,0,0,0.2402648463530859,1,1,1,4.595842792451997,0
7700719,2022-04-30,4,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.0482592551959894,1,1,1,4.595842792451997,0
5275888,2018-11-30,6,2018-05-24,0.0,0.0,0,0,0,0,0,0,0.0772052858443955,1,1,1,1.877307666638626,1
7110901,2020-04-30,5,2019-11-29,6.0,0.0,1,1,1,1,1,1,0.1197240347964708,3,3,3,64.5,1
7405822,2020-05-31,9,2019-08-22,0.0,0.0,0,0,0,0,0,0,0.1221610822966069,1,1,1,4.595842792451997,0
7766272,2022-10-31,4,2022-06-20,0.0,0.0,0,0,0,0,0,0,0.0457252838853027,0,0,0,3.654434525430721,0
5341441,2020-06-30,22,2018-08-15,0.0,0.0,0,0,0,0,0,0,0.0459603782288759,1,1,1,,0
5374210,2019-05-31,8,2018-09-11,0.0,0.0,0,0,0,0,0,0,0.1407660892078356,1,1,1,4.595842792451997,0
7536899,2021-05-31,19,2019-10-04,0.0,0.0,0,0,0,0,0,0,0.0480602203030961,1,1,1,1.877307666638626,0
5538053,2021-10-31,33,2019-01-07,0.0,0.0,0,0,0,0,0,0,0.0330199046526647,0,0,1,1.484099164499508,0
7110919,2022-05-31,30,2019-11-28,0.0,0.0,0,0,0,0,0,0,0.0527136574489347,0,0,0,,0
7766280,2022-10-31,4,2022-06-16,0.0,0.0,0,0,0,0,0,0,0.1928462987736635,0,0,0,3.654434525430721,0
7733512,2022-06-30,3,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0407792905459614,1,1,1,1.877307666638626,0
7274772,2022-08-31,14,2021-06-28,0.0,0.0,0,0,0,0,0,0,0.0644768613284847,1,1,1,,0
7274780,2022-09-30,15,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.0227291952922699,0,0,0,1.484099164499508,0
7242019,2021-10-31,7,2021-03-15,0.0,0.0,0,0,0,0,0,0,0.0352545151066688,1,1,1,4.595842792451997,0
7242027,2021-11-30,8,2021-03-15,0.0,0.0,0,0,0,0,0,0,0.0267191239385824,1,1,1,1.877307666638626,0
5308721,2020-03-31,21,2018-06-28,0.0,0.0,0,0,0,0,0,0,0.0772064301468053,1,1,1,1.877307666638626,0
7274806,2022-05-31,11,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.077998984445892,1,1,1,4.595842792451997,0
5210422,2020-05-31,26,2018-03-05,0.0,0.0,0,0,0,0,0,0,0.0389127598295757,0,0,0,,0
7700792,2022-09-30,9,2021-12-22,0.0,0.0,0,0,0,0,0,0,0.0387081468753069,0,0,0,3.654434525430721,0
7733561,2022-07-31,4,2022-03-23,0.0,0.0,0,0,0,0,0,0,0.1240332277031665,0,0,0,3.654434525430721,1
7766330,2022-10-31,4,2022-06-16,0.0,0.0,0,0,0,0,0,0,0.0739798698007842,0,0,0,3.654434525430721,1
7242043,2021-11-30,8,2021-03-16,5.0,0.0,1,1,1,0,0,0,0.0443185378377922,2,2,2,3.1268084494684545,0
7340342,2020-01-31,6,2019-07-25,0.0,0.0,0,0,0,0,0,0,0.0414446678346524,1,1,1,1.877307666638626,0
5767496,2022-07-31,39,2019-04-09,0.0,0.0,0,0,0,0,0,0,0.1189034067008965,0,0,1,,0
7274830,2022-03-31,9,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.0625070261215236,0,0,0,3.654434525430721,0
5767504,2021-01-31,21,2019-04-08,0.0,0.0,0,0,0,0,0,0,0.0528209702200776,1,1,1,4.595842792451997,0
7733587,2022-10-31,7,2022-03-22,0.0,0.0,0,0,0,0,0,0,0.0631144934988643,0,0,0,,0
7111008,2022-06-30,30,2019-12-12,277.0,0.0,0,1,1,0,0,0,0.0262335949435059,1,2,2,3.1268084494684545,0
7700834,2022-09-30,9,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.0903668341224655,1,1,1,1.877307666638626,0
7274855,2021-12-31,6,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.1415250994244886,0,0,0,3.654434525430721,0
5505391,2019-12-31,12,2018-12-12,0.0,0.0,0,0,0,0,0,0,0.0673412463135884,0,0,0,,0
7176571,2021-10-31,15,2020-07-08,0.0,0.0,0,0,0,0,0,0,0.0425569281871616,1,1,1,1.877307666638626,0
7700859,2022-09-30,9,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.0282822334333021,0,0,0,1.484099164499508,0
7143811,2022-05-31,26,2020-03-06,0.0,0.0,0,0,0,0,0,0,0.0518669421276726,0,0,1,,0
7733637,2022-06-30,3,2022-03-24,0.0,0.0,1,1,1,0,0,0,0.1486619679487906,2,2,2,63.41,1
7274889,2021-10-31,4,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.1637152331780685,1,1,1,4.595842792451997,1
7733645,2022-08-31,5,2022-03-29,0.0,0.0,0,0,0,0,0,0,0.1254501091204223,0,0,0,3.654434525430721,0
7733652,2022-10-31,7,2022-03-23,0.0,0.0,0,0,0,0,0,0,0.0530049596947315,0,0,0,,0
7143829,2021-06-30,15,2020-03-06,0.0,0.0,0,0,0,0,0,0,0.0560951853223073,0,1,1,1.877307666638626,0
5865878,2022-09-30,40,2019-05-06,0.0,0.0,1,1,1,0,0,0,0.0720907130939509,2,2,2,63.41,1
5669270,2020-03-31,12,2019-03-11,0.0,0.0,0,0,0,0,0,0,0.0356107092664688,0,1,1,,0
7111065,2020-02-29,3,2019-11-28,0.0,0.0,0,0,0,0,0,0,0.0786813440454006,1,1,1,4.595842792451997,0
7733660,2022-06-30,3,2022-03-23,0.0,0.0,0,0,0,0,0,0,0.0587049624954891,0,0,0,3.654434525430721,0
7143845,2021-10-31,19,2020-03-09,0.0,0.0,0,0,0,0,0,0,0.0500054877956823,0,0,1,3.654434525430721,0
7700917,2022-04-30,4,2021-12-16,6.0,0.0,1,1,1,1,1,1,0.0922346477284748,3,3,3,64.5,1
7274939,2022-08-31,14,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.1447551822610199,0,0,0,3.654434525430721,0
5079488,2018-12-31,11,2018-01-23,0.0,0.0,0,0,0,0,0,0,0.0311897283659305,0,1,1,,0
7274947,2022-01-31,7,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.164561621251467,0,0,0,3.654434525430721,0
7733702,2022-10-31,7,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.1309512527142471,1,1,1,4.595842792451997,0
7504327,2020-01-31,4,2019-09-20,0.0,0.0,0,0,0,0,0,0,0.0932976107617334,0,0,0,3.654434525430721,0
7176647,2022-01-31,18,2020-07-02,0.0,0.0,0,0,0,0,0,0,0.0251822173537743,1,1,1,1.877307666638626,0
7274962,2022-09-30,15,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.1254061722204351,1,1,1,4.595842792451997,0
7143894,2021-06-30,15,2020-03-05,0.0,0.0,0,0,0,0,0,0,0.0492560569651905,0,0,0,,0
7176662,2021-08-31,13,2020-07-07,0.0,0.0,0,0,0,0,0,0,0.0548198110243743,0,1,1,,0
7111131,2021-06-30,18,2019-12-02,0.0,0.0,0,0,0,0,0,0,0.0596891502664885,0,1,1,4.595842792451997,0
7242209,2022-02-28,11,2021-03-18,0.0,0.0,0,0,0,0,0,0,0.0395144081061658,1,1,1,4.595842792451997,0
7111149,2020-05-31,6,2019-11-29,0.0,0.0,0,0,0,0,0,0,0.0460336176699142,1,1,1,,0
5341680,2018-12-31,4,2018-08-28,0.0,0.0,0,0,0,0,0,0,0.032507765771893,1,1,1,1.877307666638626,0
7242225,2022-08-31,17,2021-03-16,0.0,0.0,0,0,0,0,0,0,0.0665751860756128,0,0,0,3.654434525430721,0
7733744,2022-09-30,6,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0374373002915907,0,0,0,1.484099164499508,0
5800438,2020-08-31,16,2019-04-16,0.0,0.0,0,0,0,0,0,0,0.0584177200771164,0,1,1,,0
7275001,2021-11-30,5,2021-06-29,0.0,0.0,1,1,1,0,0,0,0.1052234111228086,2,2,2,41.7,1
5407226,2021-10-31,36,2018-10-24,0.0,0.0,0,0,0,0,0,0,0.0551573451620312,0,1,1,,0
7700990,2022-04-30,4,2021-12-20,0.0,0.0,0,0,0,0,0,0,0.0537727288048372,0,0,0,3.654434525430721,0
7143944,2022-02-28,23,2020-03-13,0.0,0.0,0,0,0,0,0,0,0.072505401051909,0,0,1,,0
7275019,2022-04-30,8,2021-08-04,0.0,0.0,0,0,0,0,0,0,0.0669835069506246,1,1,1,,0
7111180,2020-05-31,6,2019-11-29,0.0,0.0,0,0,0,0,0,0,0.0853828626371373,1,1,1,1.877307666638626,0
5472782,2022-07-31,44,2018-11-19,0.0,0.0,0,0,0,0,0,0,0.0389360315236994,0,0,0,,0
7733777,2022-07-31,4,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0365340930407896,0,0,0,3.654434525430721,0
7242266,2021-10-31,7,2021-03-15,0.0,0.0,0,0,0,0,0,0,0.0481204349227834,0,0,0,3.654434525430721,0
7766561,2022-09-30,3,2022-06-22,0.0,0.0,0,0,0,0,0,0,0.0827214852706785,0,0,0,1.484099164499508,0
7176738,2021-09-30,14,2020-07-02,0.0,0.0,0,0,0,0,0,0,0.0535298451563786,1,1,1,4.595842792451997,0
7701030,2022-09-30,9,2021-12-16,0.0,0.0,0,0,0,0,0,0,0.0811250539491516,0,0,0,3.654434525430721,0
5472816,2020-03-31,15,2018-12-05,0.0,0.0,0,0,0,0,0,0,0.0407563058431854,0,1,1,,0
7176761,2020-11-30,4,2020-07-01,0.0,0.0,0,0,0,0,0,0,0.047553643678059,1,1,1,4.595842792451997,0
5669445,2020-10-31,19,2019-03-07,0.0,0.0,0,0,0,0,0,0,0.025175199749076,1,1,1,1.877307666638626,0
7176779,2021-03-31,8,2020-07-01,0.0,0.0,0,0,0,0,0,0,0.073402076124939,1,1,1,4.595842792451997,0
7275084,2022-08-31,14,2021-06-29,0.0,0.0,0,0,0,0,0,0,0.1413815961060055,0,0,0,3.654434525430721,0
7701071,2022-07-31,7,2021-12-21,0.0,0.0,0,0,0,0,0,0,0.0640749998086857,0,0,0,1.484099164499508,0
7733850,2022-09-30,6,2022-03-28,0.0,0.0,0,0,0,0,0,0,0.0573484238513187,0,0,0,3.654434525430721,0
7209570,2022-02-28,15,2020-11-04,4.0,0.0,1,1,1,1,1,1,0.0731679433365368,3,3,3,64.5,1
7242340,2022-04-30,33,2019-07-08,0.0,0.0,0,0,0,0,0,0,0.0327101745687874,1,1,1,1.877307666638626,0
5374566,2019-10-31,13,2018-09-14,0.0,0.0,0,0,0,0,0,0,0.0268056715353376,1,1,1,1.877307666638626,0
5767785,2021-03-31,23,2019-04-09,0.0,0.0,0,0,0,0,0,0,0.075211787577332,1,1,1,4.595842792451997,0
5210729,2020-09-30,30,2018-03-29,0.0,0.0,0,0,0,0,0,0,0.0374304475054795,0,1,1,1.877307666638626,0
7176811,2019-09-30,3,2019-06-18,0.0,0.0,0,0,0,0,0,0,0.0777375566536031,1,1,1,4.595842792451997,0
5341805,2019-07-31,11,2018-08-08,55.0,0.0,1,1,1,0,0,0,0.0355011878595429,2,2,2,7.516149971528758,1
7242357,2022-09-30,18,2021-03-17,0.0,0.0,0,0,0,0,0,0,0.0813662493740989,0,1,1,,0
5374582,2019-12-31,15,2018-09-20,0.0,0.0,0,0,0,0,0,0,0.0972492034251611,1,1,1,4.595842792451997,0
7766645,2022-10-31,4,2022-06-17,0.0,0.0,0,0,0,0,0,0,0.0548205858426301,0,0,0,3.654434525430721,0
7111289,2020-08-31,8,2019-12-03,0.0,0.0,0,0,0,0,0,0,0.027850525627203,0,0,0,3.654434525430721,0
7209596,2021-09-30,10,2020-11-04,0.0,0.0,0,0,0,0,0,0,0.0774747803952444,1,1,1,,0
7766652,2022-10-31,4,2022-06-23,0.0,0.0,0,0,0,0,0,0,0.0415108771349522,1,1,1,1.877307666638626,0
7111297,2022-07-31,32,2019-11-28,0.0,0.0,0,0,0,0,0,0,0.0713469009591949,0,0,1,,0
5603972,2020-02-29,12,2019-02-08,0.0,0.0,0,0,0,0,0,0,0.1408184053187572,1,1,1,4.595842792451997,1
7275142,2022-07-31,12,2021-07-01,0.0,0.0,0,0,0,0,0,0,0.1228789140849522,0,0,0,3.654434525430721,0
7635592,2020-04-30,6,2019-10-18,0.0,0.0,0,0,0,0,0,0,0.1016196320089678,0,0,0,3.654434525430721,0
7209612,2021-03-31,4,2020-11-17,0.0,0.0,0,0,0,0,0,0,0.0456408347456884,1,1,1,4.595842792451997,0
7144082,2022-02-28,23,2020-03-11,0.0,0.0,0,0,0,0,0,0,0.0493628895069732,0,0,1,,0
7176852,2020-11-30,3,2020-08-20,0.0,0.0,0,0,0,0,0,0,0.0764785607298548,1,1,1,4.595842792451997,0
7537301,2020-11-30,14,2019-09-20,0.0,0.0,0,0,0,0,0,0,0.0231586434321758,1,1,1,1.877307666638626,0
7766678,2022-09-30,3,2022-06-20,0.0,0.0,0,0,0,0,0,0,0.0349576991066643,1,1,1,4.595842792451997,0
7701154,2022-04-30,4,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.0489295581377197,1,1,1,1.877307666638626,0
5309091,2021-08-31,37,2018-07-04,0.0,0.0,0,0,0,0,0,0,0.081165359117739,1,1,1,4.595842792451997,0
7766702,2022-09-30,3,2022-06-17,0.0,0.0,0,0,0,0,0,0,0.0481184895003527,1,1,1,4.595842792451997,0
7144116,2020-10-31,7,2020-03-09,0.0,0.0,0,0,0,0,0,0,0.0545798369407305,1,1,1,4.595842792451997,0
7766710,2022-09-30,3,2022-06-17,0.0,0.0,0,0,0,0,0,0,0.0640065174784701,0,0,0,3.654434525430721,0
5407416,2021-05-31,31,2018-10-09,0.0,0.0,0,0,0,0,0,0,0.0335640571052296,0,1,1,,0
5440193,2021-02-28,28,2018-10-29,0.0,0.0,0,0,0,0,0,0,0.0596019722190278,0,0,1,,0
7176902,2021-01-31,6,2020-07-07,0.0,0.0,0,0,0,0,0,0,0.0503506140431947,1,1,1,,0
7111370,2021-05-31,18,2019-11-29,0.0,0.0,0,0,0,0,0,0,0.0732660832916158,0,1,1,4.595842792451997,0
7209679,2021-08-31,9,2020-11-05,0.0,0.0,0,0,0,0,0,0,0.079600165767346,0,0,0,3.654434525430721,0
7275217,2021-10-31,4,2021-06-30,0.0,0.0,0,0,0,0,0,0,0.1083974953433329,1,1,1,4.595842792451997,0
7701204,2022-09-30,9,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.04973941798727,1,1,1,4.595842792451997,0
7733975,2022-06-30,3,2022-03-28,0.0,0.0,0,0,0,0,0,0,0.0491200710560216,0,0,0,1.484099164499508,0
7766744,2022-09-30,3,2022-06-23,0.0,0.0,0,0,0,0,0,0,0.0441475369642452,1,1,1,4.595842792451997,0
5374681,2021-09-30,36,2018-09-13,0.0,0.0,0,0,0,0,0,0,0.0558415043768527,0,0,1,,0
7242456,2021-06-30,3,2021-03-19,0.0,0.0,0,0,0,0,0,0,0.0585848992794892,1,1,1,1.877307666638626,0
5505755,2022-05-31,41,2018-12-11,0.0,0.0,0,0,0,0,0,0,0.0515173298993637,0,0,1,,0
7275233,2022-09-30,14,2021-07-06,0.0,0.0,0,0,0,0,0,0,0.1367738337621648,0,0,0,3.654434525430721,0
5276399,2022-04-30,47,2018-05-24,0.0,0.0,0,0,0,0,0,0,0.066100478128446,0,0,1,,0
7209711,2021-04-30,5,2020-11-05,0.0,0.0,0,0,0,0,0,0,0.1282708593387982,1,1,1,1.877307666638626,0
5440243,2019-10-31,11,2018-11-01,0.0,0.0,0,0,0,0,0,0,0.1136716087985526,1,1,1,4.595842792451997,1
5243639,2021-08-31,40,2018-04-19,0.0,0.0,0,0,0,0,0,0,0.1230687371544198,0,0,1,,0
7111420,2022-01-31,26,2019-11-29,0.0,0.0,0,0,0,0,0,0,0.0324053234506721,1,1,1,1.877307666638626,0
7406333,2022-09-30,37,2019-08-12,0.0,0.0,0,0,0,0,0,0,0.0997050446882007,1,1,1,4.595842792451997,0
5341953,2018-11-30,3,2018-08-15,0.0,0.0,0,0,0,0,0,0,0.0710185355331779,1,1,1,4.595842792451997,1
7242498,2021-07-31,4,2021-03-18,0.0,0.0,0,0,0,0,0,0,0.0507876656136729,1,1,1,4.595842792451997,0
7766785,2022-10-31,4,2022-06-22,0.0,0.0,0,0,0,0,0,0,0.0472464835545997,0,0,0,3.654434525430721,0
7406341,2020-03-31,7,2019-08-12,0.0,0.0,0,0,0,0,0,0,0.0334656301159465,1,1,1,1.877307666638626,0
5243662,2020-07-31,27,2018-04-12,0.0,0.0,0,0,0,0,0,0,0.0584022660477189,0,0,1,,0
7242522,2022-09-30,18,2021-03-18,102.0,0.0,1,1,1,0,0,0,0.1291629898508556,2,2,2,39.215327073913855,1
5341979,2022-04-30,44,2018-08-14,0.0,0.0,0,0,0,0,0,0,0.0524783724710833,0,0,1,,0
7275290,2021-11-30,4,2021-07-02,0.0,0.0,0,0,0,0,0,0,0.1663985478863096,1,1,1,4.595842792451997,0
7111453,2020-08-31,9,2019-11-29,0.0,0.0,0,0,0,0,0,0,0.0653374934922655,1,1,1,4.595842792451997,0
7734049,2022-06-30,3,2022-03-24,0.0,0.0,0,0,0,0,0,0,0.0737900870291514,0,0,0,3.654434525430721,0
5702436,2019-07-31,4,2019-03-18,6.0,0.0,1,1,1,0,0,0,0.0754462354828493,2,2,2,39.215327073913855,1
7111461,2022-06-30,30,2019-12-03,0.0,0.0,0,0,0,0,0,0,0.0483808991530498,1,1,1,1.877307666638626,0
7701287,2022-04-30,4,2021-12-22,0.0,0.0,0,0,0,0,0,0,0.052359196774962,0,0,0,3.654434525430721,0
5767975,2021-06-30,26,2019-04-11,0.0,0.0,0,0,0,0,0,0,0.0522990907920828,0,0,1,,0
7504681,2021-07-31,20,2019-11-21,0.0,0.0,0,0,0,0,0,0,0.0966619889442113,0,1,1,4.595842792451997,0
7701295,2022-09-30,9,2021-12-17,0.0,0.0,0,0,0,0,0,0,0.0522741325477073,1,1,1,1.877307666638626,0
7242548,2022-03-31,12,2021-03-18,0.0,0.0,0,0,0,0,0,0,0.0309616556024377,0,0,0,1.484099164499508,0
7570229,2020-10-31,13,2019-09-24,0.0,0.0,0,0,0,0,0,0,0.1036964404822963,1,1,1,4.595842792451997,0
5866298,2021-04-30,23,2019-05-06,0.0,0.0,0,0,0,0,0,0,0.1062564349012291,0,0,1,,0
5079868,2020-11-30,33,2018-02-14,0.0,0.0,0,0,0,0,0,0,0.0285757588538232,0,0,1,,0
